Mapping parameters for Gadus morhua (Atlantic cod)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  18 |  21 |  27 |  31 |  41 ,
Bounding Box (NSWE): ,83,35,-76,86

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,65,200,600
Temperature (°C),1,-0.9,2.54,12.29,16.08
Salinity (psu),1,6.2,29.5,34.8,39.3
Primary Production,1,328,546,1800,2935
Sea Ice Concentration,1,-0.9512169377449899,0,0.17,0.74
Distance to Land (km),0,0,8,263,967
 

Map data (HSPEC) for predicted occurrences (n = 4587): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Gadus,morhua,55.25,14.25,1501:354:1,0.09,1,1,0.091845493562232,0.99471365638767,1,1
Gadus,morhua,55.25,14.75,1501:354:2,0.06,1,1,0.059656652360515,1,1,1
Gadus,morhua,55.75,14.25,1501:354:3,0.06,1,1,0.059656652360515,1,1,1
Gadus,morhua,55.75,14.75,1501:354:4,0.06,1,1,0.059656652360515,1,1,1
Gadus,morhua,56.25,14.75,1501:364:2,0.05,0.83076923076923,1,0.059656652360515,1,1,1
Gadus,morhua,58.25,11.75,1501:381:2,0.08,0.092307692307692,1,0.9656652360515,0.94096916299559,1,1
Gadus,morhua,59.75,10.25,1501:390:3,0.14,0.18461538461538,1,0.9656652360515,0.78766519823789,1,1
Gadus,morhua,55.25,15.25,1501:455:1,0.06,1,1,0.059656652360515,1,1,1
Gadus,morhua,55.25,15.75,1501:455:2,0.06,1,1,0.059656652360515,1,1,1
Gadus,morhua,55.75,15.25,1501:455:3,0.06,1,1,0.059656652360515,1,1,1
Gadus,morhua,55.75,15.75,1501:455:4,0.06,1,1,0.059656652360515,1,1,1
Gadus,morhua,55.25,16.25,1501:456:1,0.05,1,1,0.04549356223176,1,1,1
Gadus,morhua,55.25,16.75,1501:456:2,0.05,1,1,0.04549356223176,1,1,1
Gadus,morhua,55.75,16.25,1501:456:3,0.05,1,1,0.04549356223176,1,1,1
Gadus,morhua,55.75,16.75,1501:456:4,0.05,1,1,0.04549356223176,1,1,1
Gadus,morhua,55.25,17.25,1501:457:1,0.03,1,1,0.034763948497854,1,1,1
Gadus,morhua,55.25,17.75,1501:457:2,0.03,1,1,0.034763948497854,1,1,1
Gadus,morhua,55.75,17.25,1501:457:3,0.03,0.73846153846154,1,0.034763948497854,1,1,1
Gadus,morhua,55.75,17.75,1501:457:4,0.03,1,1,0.034763948497854,1,1,1
Gadus,morhua,55.25,18.25,1501:458:1,0.03,1,1,0.030042918454936,1,1,1
Gadus,morhua,55.25,18.75,1501:458:2,0.03,1,1,0.030042918454936,0.99118942731278,1,1
Gadus,morhua,55.75,18.25,1501:458:3,0.03,1,1,0.030042918454936,1,1,1
Gadus,morhua,55.75,18.75,1501:458:4,0.03,1,1,0.030042918454936,1,1,1
Gadus,morhua,55.25,19.25,1501:459:1,0.03,1,1,0.028326180257511,1,1,1
Gadus,morhua,55.25,19.75,1501:459:2,0.03,1,1,0.028326180257511,0.98678414096916,1,1
Gadus,morhua,55.75,19.25,1501:459:3,0.03,1,1,0.028326180257511,1,1,1
Gadus,morhua,55.75,19.75,1501:459:4,0.03,1,1,0.028326180257511,1,1,1
Gadus,morhua,56.25,15.25,1501:465:1,0.05,0.89230769230769,1,0.059656652360515,1,1,1
Gadus,morhua,56.25,15.75,1501:465:2,0.05,0.81538461538462,1,0.059656652360515,1,1,1
Gadus,morhua,56.25,16.25,1501:466:1,0.04,0.86153846153846,1,0.04549356223176,1,1,1
Gadus,morhua,56.25,16.75,1501:466:2,0.12,1,1,0.12317596566524,1,1,1
Gadus,morhua,56.75,16.25,1501:466:3,0.12,1,1,0.12317596566524,1,1,1
Gadus,morhua,56.75,16.75,1501:466:4,0.12,1,1,0.12317596566524,1,1,1
Gadus,morhua,56.25,17.25,1501:467:1,0.12,1,1,0.12317596566524,1,1,1
Gadus,morhua,56.25,17.75,1501:467:2,0.12,1,1,0.12317596566524,1,1,1
Gadus,morhua,56.75,17.25,1501:467:3,0.12,1,1,0.12317596566524,1,1,1
Gadus,morhua,56.75,17.75,1501:467:4,0.12,1,1,0.12317596566524,1,1,1
