"sovereign_iso3","sovereign","rcp","scenario","b1","b2","c1","c2","p1","p2","msy_tot1","msy_tot2","bbmsy_avg1","bbmsy_avg2","bbmsy_prop1","bbmsy_prop2","b_pdiff","c_pdiff","p_pdiff","bbmsy_prop_diff"
"TKM","Turkmenistan","RCP85","Imperfect Productivity Only",0,0,0,0,0,0,0,0,0.94739518914955,0.787200174133585,0.483311938382542,0.319383825417202,NA,NA,NA,-0.108344030808729
"TKM","Turkmenistan","RCP85","No Adaptation",0,0,0,0,0,0,0,0,0.973964342951731,0.668212079485344,0.427727856225931,0.189730423620026,NA,NA,NA,-0.237997432605905
"TKM","Turkmenistan","RCP85","Productivity Only",0,0,0,0,0,0,0,0,0.961600545524156,0.812647100715559,0.508215661103979,0.381514762516046,NA,NA,NA,-0.0462130937098845
"TKM","Turkmenistan","RCP85","Range Shift Only",0,0,0,0,0,0,0,0,1.00493500808418,0.97023916145234,0.451476251604621,0.472528883183569,NA,NA,NA,0.044801026957638
"TLS","East Timor","RCP26","Full Adaptation",358331.913909605,434582.80669236,22575.1047051026,24738.206017422,26744187.8389483,25799838.4352069,25162.4226107601,25531.4984564896,1.04949732498778,1.23306141144784,0.637227214377407,0.963543003851091,14.9047809069242,25.8716664154119,24.7657893024901,0.524261874197689
"TLS","East Timor","RCP26","Imperfect Full Adaptation",304040.913581505,400176.389495842,29336.6973454896,14147.0325426378,26104814.7726199,9041995.73777844,25162.4226107601,25531.4984564896,0.983541541742088,1.10618837993878,0.533632862644416,0.709370988446727,5.80763815558479,-28.0177972598013,-56.2736899331039,0.270089858793325
"TLS","East Timor","RCP26","Imperfect Productivity Only",304030.547089734,386600.122922683,29441.4370005429,15518.0685612742,26718544.4602844,10604183.0251717,25162.4226107601,25531.4984564896,0.956160330538209,0.885954227312233,0.491784338896021,0.458536585365854,2.21803932171468,-21.0417623662533,-48.7190872002448,0.0192554557124519
"TLS","East Timor","RCP26","No Adaptation",378211.248707209,386115.935355176,19653.5143467308,16949.6683310915,20678615.9727296,9253683.24721087,25162.4226107601,25531.4984564896,0.991788876796463,0.788873094644747,0.439281129653402,0.303080872913992,2.09001891799536,-13.7575701115715,-55.2499874294567,-0.136200256739409
"TLS","East Timor","RCP26","Productivity Only",350152.850687525,412172.05917626,24056.0195338292,24246.5662303406,28578711.3410922,21689179.4889836,25162.4226107601,25531.4984564896,1.00287083876944,0.962287179957259,0.564313222079589,0.634017971758665,8.97932321821085,23.3701301588022,4.88699784157099,0.194736842105263
"TLS","East Timor","RCP26","Range Shift Only",381710.135358074,418024.894612189,18400.1264340004,16700.4807996729,17574674.052365,11523674.8925508,25162.4226107601,25531.4984564896,1.01492361321548,0.948083022907076,0.457894736842105,0.457637997432606,10.5268275444133,-15.0254732815714,-44.2725039831102,0.0183568677792041
"TLS","East Timor","RCP45","Full Adaptation",356472.33302966,437625.149046323,22597.9003954029,25096.5029048456,26929609.0633231,26098584.6245801,25205.4821920764,25845.2191067301,1.03931191673005,1.22916065539399,0.626315789473684,0.965596919127086,15.5579732752451,33.4480079709518,39.7626545385001,0.533761232349166
"TLS","East Timor","RCP45","Imperfect Full Adaptation",302376.072988007,401704.956153055,29304.9561533636,14306.439825669,26174988.8523598,8840694.10016307,25205.4821920764,25845.2191067301,0.974586723268457,1.09853268623418,0.523363286264442,0.694351732991014,6.07299577921354,-23.9270147266936,-52.6564795303904,0.262516046213094
"TLS","East Timor","RCP45","Imperfect Productivity Only",301872.36665678,384107.578683022,29461.6534584869,15524.6069307423,26635050.5504057,8659960.25096266,25205.4821920764,25845.2191067301,0.954607661657517,0.882126985063351,0.490885750962773,0.448908857509628,1.42628550712807,-17.449539591447,-53.6243420751439,0.0170731707317073
"TLS","East Timor","RCP45","No Adaptation",378706.147782596,399511.471802082,18806.20272002,17834.822014899,18673503.8131312,12711239.8936032,25205.4821920764,25845.2191067301,0.981932740422421,0.767031241313666,0.43183568677792,0.286649550706033,5.49379093561205,-5.16521447515274,-31.9290047502242,-0.145186136071887
"TLS","East Timor","RCP45","Productivity Only",348069.895353249,411468.885160338,24068.8211836445,24268.0773204295,28512195.4379826,19881844.5889082,25205.4821920764,25845.2191067301,0.991933438792854,0.948020296770293,0.552631578947368,0.615019255455712,8.6512293422155,29.0429422766731,6.47088402834878,0.183183568677792
"TLS","East Timor","RCP45","Range Shift Only",380030.463150959,425602.555778528,18362.7161806626,16932.8081904399,17741022.8125469,11800298.4860961,25205.4821920764,25845.2191067301,1.00685620485249,0.95005531062617,0.453530166880616,0.463286264441592,12.3833236588633,-9.96157787656853,-36.8072612179072,0.0314505776636714
"TLS","East Timor","RCP60","Full Adaptation",358043.340641657,445456.912007632,22603.8945078912,25485.0915269997,26914375.4062336,26299165.8104568,25200.6671093065,26259.6104375875,1.04357927556928,1.23464651734759,0.632734274711168,0.966367137355584,20.5148564855791,18.8823409566538,10.3558987399379,0.531707317073171
"TLS","East Timor","RCP60","Imperfect Full Adaptation",303755.702329673,409005.59555774,29356.4587761125,14234.9745577458,26201015.7624958,9071677.68642632,25200.6671093065,26259.6104375875,0.978390273562922,1.10486783400233,0.527727856225931,0.705519897304236,10.6532401266125,-33.5969777824668,-61.933654041355,0.270860077021823
"TLS","East Timor","RCP60","Imperfect Productivity Only",306446.555747708,372436.932035728,29073.1399047025,16559.5034096952,26890699.6610523,9992597.17035118,25200.6671093065,26259.6104375875,0.957154907936583,0.881251836944874,0.493453145057766,0.454557124518614,0.759876442204899,-22.7535624763745,-58.0693148433703,0.0198973042362003
