"sovereign_iso3","sovereign","rcp","scenario","msy_tot1","msy_tot2","c_tot","p_tot","bbmsy_avg2","bbmsy_good_prop","c_tot_rel","p_tot_rel","b_prop_diff"
"AGO","Angola","RCP26","Full Adaptation",253292.846876247,81259.1469677962,3134507.74430737,1896792359.60739,1.23811098047285,0.847898357526085,8.4322287600702,77.4316767885374,0.498140285046575
"AGO","Angola","RCP26","Imperfect Full Adaptation",253292.846876247,81259.1469677962,2436329.73577675,913239144.951973,1.15343250917188,0.638820315328659,-15.7198881628282,-14.572856656119,0.289062242849149
"AGO","Angola","RCP26","Imperfect Productivity Only",253292.846876247,81259.1469677962,3069021.99425,797525267.939194,0.90395704671429,0.47065600210658,6.16687598062958,-25.3970816283925,0.12089792962707
"AGO","Angola","RCP26","No Adaptation",253292.846876247,81259.1469677962,2890752.85102102,1069026903.16565,0.778544020522817,0.34975807247951,0,0,0
"AGO","Angola","RCP26","Productivity Only",253292.846876247,81259.1469677962,3528625.51444606,1607881567.49073,0.95154550133305,0.614100918337119,22.0659702263975,50.4060901301361,0.264342845857608
"AGO","Angola","RCP26","Range Shift Only",253292.846876247,81259.1469677962,2806876.16569049,1074203312.97757,0.947342963421658,0.453572956782199,-2.90155159064922,0.484216982434256,0.103814884302689
"AGO","Angola","RCP45","Full Adaptation",253292.846876247,68145.2874051197,4261994.60619037,2446203493.91458,1.24070520397289,0.843520621441032,-2.76212871120577,65.4391841645717,0.503011750765281
"AGO","Angola","RCP45","Imperfect Full Adaptation",253292.846876247,68145.2874051197,3422321.80032725,1369873655.42176,1.14996074892929,0.629340706362529,-21.9193552601621,-7.35407723629476,0.288831835686778
"AGO","Angola","RCP45","Imperfect Productivity Only",253292.846876247,68145.2874051197,4690927.65907575,1563778306.99826,0.895301328460585,0.476185774003489,7.02402562305797,5.75988791105893,0.135676903327738
"AGO","Angola","RCP45","No Adaptation",253292.846876247,68145.2874051197,4383060.37524448,1478611917.88833,0.755335050797472,0.340508870675751,0,0,0
"AGO","Angola","RCP45","Productivity Only",253292.846876247,68145.2874051197,5152055.52452389,2331701067.85864,0.935188102010324,0.60485171653336,17.5447081135979,57.6952707907728,0.264342845857608
"AGO","Angola","RCP45","Range Shift Only",253292.846876247,68145.2874051197,4133708.69645687,1391402669.93901,0.952377399874711,0.452453836279254,-5.68898571865335,-5.89804849360821,0.111944965603502
"AGO","Angola","RCP60","Full Adaptation",253292.846876247,121247.356321366,5530104.6081388,2916167829.67582,1.24896881553093,0.847437543201343,-0.853165220651909,73.5794718003782,0.511207662683914
"AGO","Angola","RCP60","Imperfect Full Adaptation",253292.846876247,121247.356321366,4555788.63959226,1740064484.84061,1.15916101435479,0.63513380073072,-18.3212514869036,3.5741054076462,0.298903920213291
"AGO","Angola","RCP60","Imperfect Productivity Only",253292.846876247,121247.356321366,6016093.2937955,1979149135.31302,0.888923283575606,0.478555676245022,7.85991406731014,17.805175005994,0.142325795727593
"AGO","Angola","RCP60","No Adaptation",253292.846876247,121247.356321366,5577691.53240856,1680018840.60893,0.735541494969728,0.336229880517429,0,0,0
"AGO","Angola","RCP60","Productivity Only",253292.846876247,121247.356321366,6477538.62623428,2749165264.94745,0.924212463355189,0.594088410519733,16.1329662746185,63.638954426904,0.257858530002304
"AGO","Angola","RCP60","Range Shift Only",253292.846876247,121247.356321366,5296413.7945641,1579175555.2662,0.955029807043631,0.453046311839637,-5.04290594433429,-6.00250919246688,0.116816431322208
"AGO","Angola","RCP85","Full Adaptation",253292.846876247,63863.5810175218,3838166.90765425,2282616700.28167,1.32135859032464,0.841776110068793,-14.644434679681,29.728422647853,0.545209176788124
"AGO","Angola","RCP85","Imperfect Full Adaptation",253292.846876247,63863.5810175218,2763213.65416634,1200995773.51896,1.21023743911138,0.630756064645667,-38.5499199938809,-31.7435611129425,0.334189131364998
"AGO","Angola","RCP85","Imperfect Productivity Only",253292.846876247,63863.5810175218,4270626.53400846,1259101290.06382,0.778399760567611,0.405121622066423,-5.0271260076522,-28.4412383850081,0.108554688785754
"AGO","Angola","RCP85","No Adaptation",253292.846876247,63863.5810175218,4496680.31984854,1759534767.85717,0.651740876739884,0.296566933280669,0,0,0
"AGO","Angola","RCP85","Productivity Only",253292.846876247,63863.5810175218,4397930.61500292,1414984347.82112,0.793890178115189,0.455054145683157,-2.19605793210898,-19.5819046221895,0.158487212402488
"AGO","Angola","RCP85","Range Shift Only",253292.846876247,63863.5810175218,3713557.31091846,1303787021.71605,0.991889205764471,0.455284552845528,-17.4155811226638,-25.9016050416639,0.15871761956486
"ALB","Albania","RCP26","Full Adaptation",19141.6496520679,19109.6544384344,597264.337455756,337403812.883091,1.23811098047285,0.847898357526085,12.615806516177,53.1831202820522,0.498140285046575
"ALB","Albania","RCP26","Imperfect Full Adaptation",19141.6496520679,19109.6544384344,540147.794510793,217941125.956788,1.15343250917188,0.638820315328659,1.84632783515776,-1.0535730862878,0.289062242849149
"ALB","Albania","RCP26","Imperfect Productivity Only",19141.6496520679,19109.6544384344,520462.566622284,176008381.073002,0.90395704671429,0.47065600210658,-1.86537513469085,-20.0912616304753,0.12089792962707
"ALB","Albania","RCP26","No Adaptation",19141.6496520679,19109.6544384344,530355.68978495,220261744.415336,0.778544020522817,0.34975807247951,0,0,0
"ALB","Albania","RCP26","Productivity Only",19141.6496520679,19109.6544384344,608383.226710498,293283077.441082,0.95154550133305,0.614100918337119,14.7123031634084,33.1520724216427,0.264342845857608
"ALB","Albania","RCP26","Range Shift Only",19141.6496520679,19109.6544384344,528644.647926694,224952702.565005,0.947342963421658,0.453572956782199,-0.322621570997006,2.12971987583251,0.103814884302689
"ALB","Albania","RCP45","Full Adaptation",19141.6496520679,17417.4280471923,547445.439666122,291354715.683844,1.24070520397289,0.843520621441032,9.77615071327078,48.6997995101334,0.503011750765281
"ALB","Albania","RCP45","Imperfect Full Adaptation",19141.6496520679,17417.4280471923,508694.297541508,189050694.861163,1.14996074892929,0.629340706362529,2.00560243584346,-3.51348747822877,0.288831835686778
"ALB","Albania","RCP45","Imperfect Productivity Only",19141.6496520679,17417.4280471923,539739.986010713,196966323.534884,0.895301328460585,0.476185774003489,8.23101949013704,0.526441630234166,0.135676903327738
"ALB","Albania","RCP45","No Adaptation",19141.6496520679,17417.4280471923,498692.508444771,195934840.963917,0.755335050797472,0.340508870675751,0,0,0
"ALB","Albania","RCP45","Productivity Only",19141.6496520679,17417.4280471923,594962.198199867,262152651.523972,0.935188102010324,0.60485171653336,19.3044186798241,33.7958324483236,0.264342845857608
"ALB","Albania","RCP45","Range Shift Only",19141.6496520679,17417.4280471923,477091.566953332,196101160.990382,0.952377399874711,0.452453836279254,-4.33151513721425,0.0848853759989103,0.111944965603502
"ALB","Albania","RCP60","Full Adaptation",19141.6496520679,19172.4532236998,599999.385288528,340806918.714388,1.24896881553093,0.847437543201343,5.75852966518835,41.3859485652447,0.511207662683914
"ALB","Albania","RCP60","Imperfect Full Adaptation",19141.6496520679,19172.4532236998,540764.482925389,220199592.592386,1.15916101435479,0.63513380073072,-4.68247466313114,-8.64877864041842,0.298903920213291
"ALB","Albania","RCP60","Imperfect Productivity Only",19141.6496520679,19172.4532236998,608365.378600805,260817983.005042,0.888923283575606,0.478555676245022,7.2331564291304,8.20202262661672,0.142325795727593
"ALB","Albania","RCP60","No Adaptation",19141.6496520679,19172.4532236998,567329.545132684,241047234.306397,0.735541494969728,0.336229880517429,0,0,0
"ALB","Albania","RCP60","Productivity Only",19141.6496520679,19172.4532236998,663342.288807108,327328872.781275,0.924212463355189,0.594088410519733,16.9236283387935,35.7944942712779,0.257858530002304
"ALB","Albania","RCP60","Range Shift Only",19141.6496520679,19172.4532236998,528895.078459485,227909546.222684,0.955029807043631,0.453046311839637,-6.77462808044134,-5.45025464470323,0.116816431322208
"ALB","Albania","RCP85","Full Adaptation",19141.6496520679,16645.5901942097,543469.074726926,289091257.605471,1.32135859032464,0.841776110068793,2.82788852934298,30.9885470905854,0.545209176788124
"ALB","Albania","RCP85","Imperfect Full Adaptation",19141.6496520679,16645.5901942097,511646.182053474,196336546.715833,1.21023743911138,0.630756064645667,-3.19321002562304,-11.0390289623093,0.334189131364998
"ALB","Albania","RCP85","Imperfect Productivity Only",19141.6496520679,16645.5901942097,544752.24586644,191165798.303917,0.778399760567611,0.405121622066423,3.07067286617813,-13.3819182888769,0.108554688785754
"ALB","Albania","RCP85","No Adaptation",19141.6496520679,16645.5901942097,528523.032515485,220699644.378488,0.651740876739884,0.296566933280669,0,0,0
"ALB","Albania","RCP85","Productivity Only",19141.6496520679,16645.5901942097,575903.279610004,215775285.511747,0.793890178115189,0.455054145683157,8.96465133582056,-2.23124911714702,0.158487212402488
"ALB","Albania","RCP85","Range Shift Only",19141.6496520679,16645.5901942097,472496.845489297,195254335.330483,0.991889205764471,0.455284552845528,-10.6005194815321,-11.5293838010758,0.15871761956486
"ARE","United Arab Emirates","RCP26","Full Adaptation",26997.5826889959,10569.2362790812,666371.651837265,567230087.773733,1.23811098047285,0.847898357526085,61.1719616921493,53.8131323660774,0.498140285046575
"ARE","United Arab Emirates","RCP26","Imperfect Full Adaptation",26997.5826889959,10569.2362790812,530498.492214548,237414474.805566,1.15343250917188,0.638820315328659,28.3090035856244,-35.6214262501217,0.289062242849149
"ARE","United Arab Emirates","RCP26","Imperfect Productivity Only",26997.5826889959,10569.2362790812,534160.475653488,240923825.879789,0.90395704671429,0.47065600210658,29.1947091118285,-34.6698119177137,0.12089792962707
"ARE","United Arab Emirates","RCP26","No Adaptation",26997.5826889959,10569.2362790812,413453.832069182,368778711.575627,0.778544020522817,0.34975807247951,0,0,0
"ARE","United Arab Emirates","RCP26","Productivity Only",26997.5826889959,10569.2362790812,676119.206020984,566583525.720395,0.95154550133305,0.614100918337119,63.5295536232569,53.6378071553092,0.264342845857608
"ARE","United Arab Emirates","RCP26","Range Shift Only",26997.5826889959,10569.2362790812,396016.594201338,357528592.727849,0.947342963421658,0.453572956782199,-4.21745706904624,-3.05064215873826,0.103814884302689
"ARE","United Arab Emirates","RCP45","Full Adaptation",26997.5826889959,27236.6331798075,1172253.81847361,1021331466.59737,1.24070520397289,0.843520621441032,16.1602531443945,74.5517826992558,0.503011750765281
"ARE","United Arab Emirates","RCP45","Imperfect Full Adaptation",26997.5826889959,27236.6331798075,867165.756702458,403393881.811102,1.14996074892929,0.629340706362529,-14.0713451052192,-31.0575229463099,0.288831835686778
"ARE","United Arab Emirates","RCP45","Imperfect Productivity Only",26997.5826889959,27236.6331798075,1055178.81883491,562112551.088181,0.895301328460585,0.476185774003489,4.55912941112394,-3.93153341593004,0.135676903327738
"ARE","United Arab Emirates","RCP45","No Adaptation",26997.5826889959,27236.6331798075,1009169.47642704,585116605.974213,0.755335050797472,0.340508870675751,0,0,0
"ARE","United Arab Emirates","RCP45","Productivity Only",26997.5826889959,27236.6331798075,1175799.31326267,854758022.802835,0.935188102010324,0.60485171653336,16.5115811296221,46.0833642517582,0.264342845857608
"ARE","United Arab Emirates","RCP45","Range Shift Only",26997.5826889959,27236.6331798075,754818.599884138,572169779.879699,0.952377399874711,0.452453836279254,-25.2039803505979,-2.2126916177602,0.111944965603502
"ARE","United Arab Emirates","RCP60","Full Adaptation",26997.5826889959,10901.2484336507,864251.629033983,754116882.517214,1.24896881553093,0.847437543201343,15.9373163831724,60.411895466226,0.511207662683914
