"SciName","CommName","SpeciesID"
"Rhomboplites aurorubens","Vermilion snapper","14314"
"Rhynchobatus australiae","Whitespotted wedgefish","14325"
"Rhynchobatus djiddensis","Giant guitarfish","14326"
"Ruditapes decussatus","Grooved carpet shell","14415"
"Ruditapes philippinarum","Japanese carpet shell","14416"
"Ruvettus pretiosus","Oilfish","14422"
"Sagmariasus verreauxi","Green rock lobster","14450"
"Salilota australis","Tadpole codling","14460"
"Salmo salar","Atlantic salmon","14463"
"Sarda orientalis","Striped bonito","14498"
"Sarda sarda","Atlantic bonito","14499"
"Sardina pilchardus","European pilchard(=Sardine)","14500"
"Sardinella aurita","Round sardinella","14502"
"Sardinella brasiliensis","Brazilian sardinella","14504"
"Sardinella gibbosa","Goldstripe sardinella","14506"
"Sardinella lemuru","Bali sardinella","14508"
"Sardinella longiceps","Indian oil sardine","14509"
"Sardinella maderensis","Madeiran sardinella","14510"
"Sardinella zunasi","Japanese sardinella","14516"
"Sardinops sagax","South American pilchard","14517"
"Sargocentron spiniferum","Sabre squirrelfish","14545"
"Sarpa salpa","Salema","14553"
"Saurida tumbil","Greater lizardfish","14579"
"Saurida undosquamis","Brushtooth lizardfish","14580"
"Scarus ghobban","Blue-barred parrotfish","14625"
"Scarus persicus","Gulf parrotfish","14636"
"Sciaenops ocellatus","Red drum","14693"
"Scolopsis taeniata","Black-streaked monocle bream","14720"
"Scomber australasicus","Blue mackerel","14730"
"Scomber japonicus","Chub mackerel","14732"
"Scomber scombrus","Atlantic mackerel","14733"
"Scomberoides commersonnianus","Talang queenfish","14737"
"Scomberoides lysan","Doublespotted queenfish","14738"
"Scomberoides tol","Needlescaled queenfish","14740"
"Scomberomorus brasiliensis","Serra Spanish mackerel","14741"
"Scomberomorus cavalla","King mackerel","14742"
"Scomberomorus commerson","Narrow-barred Spanish mackerel","14743"
"Scomberomorus guttatus","Indo-Pacific king mackerel","14745"
"Scomberomorus lineolatus","Streaked seerfish","14747"
"Scomberomorus maculatus","Atlantic Spanish mackerel","14748"
"Scomberomorus niphonius","Japanese Spanish mackerel","14750"
"Scomberomorus regalis","Cero","14753"
"Scomberomorus sierra","Pacific sierra","14755"
"Scomberomorus tritor","West African Spanish mackerel","14756"
"Scophthalmus aquosus","Windowpane flounder","14789"
"Scophthalmus maximus","Brill","14790"
"Scophthalmus rhombus","Brill","17335"
"Scorpaena guttata","California scorpionfish","14806"
"Scorpaenichthys marmoratus","Cabezon","14826"
"Scyliorhinus stellaris","Nursehound","14890"
"Scylla serrata","Indo-Pacific swamp crab","14893"
"Sebastes aleutianus","Rougheye rockfish","14915"
"Sebastes alutus","Pacific ocean perch","14916"
"Sebastes carnatus","Gopher rockfish","14925"
"Sebastes chlorostictus","Greenspotted rockfish","14927"
"Sebastes crameri","Darkblotched rockfish","14932"
"Sebastes diploproa","Splitnose rockfish","14934"
"Sebastes elongatus","Greenstriped rockfish","14935"
"Sebastes entomelas","Widow rockfish","14938"
"Sebastes fasciatus","Acadian redfish","14940"
"Sebastes flavidus","Yellowtail rockfish","14942"
"Sebastes goodei","Chilipepper rockfish","14945"
"Sebastes jordani","Shortbelly rockfish","14953"
"Sebastes levis","Cowcod","14956"
"Sebastes melanops","Black rockfish","14961"
"Sebastes mystinus","Blue rockfish","14965"
"Sebastes norvegicus","Golden redfish","14968"
"Sebastes paucispinis","Bocaccio rockfish","14974"
"Sebastes pinniger","Canary rockfish","14976"
"Sebastes polyspinis","Northern rockfish","14977"
"Sebastes ruberrimus","Yelloweye rockfish","14983"
"Sebastes variabilis","Dusky rockfish ","14997"
"Sebastolobus alascanus","Shortspine thornyhead","15007"
"Sebastolobus altivelis","Longspine thornyhead","15008"
"Selar crumenophthalmus","Bigeye scad","15018"
"Selaroides leptolepis","Yellowstripe scad","15019"
"Selene dorsalis","African moonfish","15024"
"Selene peruviana","Peruvian moonfish","15026"
"Selene setapinnis","Atlantic moonfish","15027"
"Semicossyphus pulcher","California sheephead","15038"
"Sepia officinalis","Common cuttlefish","15063"
"Sepioteuthis lessoniana","Bigfin reef squid","15095"
"Seriola dumerili","Greater amberjack","15114"
"Seriola lalandi","Yellowtail amberjack","15117"
"Seriola rivoliana","Longfin yellowtail","15119"
"Seriolella brama","Common warehou","15121"
"Seriolella caerulea","White warehou","15122"
"Seriolella punctata","Silver warehou","15123"
"Seriolina nigrofasciata","Blackbanded trevally","15124"
"Serranus cabrilla","Comber","15141"
"Sicyonia brevirostris","Rock shrimp","15176"
"Sicyonia ingentis","Pacific rock shrimp","15179"
"Sillago flindersi","Flinders' sillago","15236"
"Sillago sihama","Silver sillago","15244"
"Solea senegalensis","Senegalese sole","15323"
"Solea solea","Common sole","15324"
"Solenocera agassizii","Kolibri shrimp","15345"
"Sparidentex hasta","Sobaity seabream","15386"
"Sparisoma cretense","Parrotfish","15391"
"Sparus aurata","Gilthead seabream","15397"
"Sphyraena barracuda","Great barracuda","15438"
"Sphyraena jello","Pickhandle barracuda","15447"
"Sphyraena sphyraena","European barracuda","15454"
"Sphyrna lewini","Scalloped hammerhead","15458"
"Sphyrna zygaena","Smooth hammerhead","15462"
"Spicara maena","Blotched picarel","15465"
"Spisula solida","Solid surf clam","15481"
"Spondyliosoma cantharus","Black seabream","15486"
"Sprattus fuegensis","Falkland sprat","15507"
"Sprattus sprattus","European sprat","15509"
"Squalus acanthias","Picked dogfish","15520"
"Squatina argentina","Argentine angelshark","15535"
"Squatina californica","Pacific angelshark","15537"
"Squilla mantis","Spottail mantis squillid","15544"
"Stenotomus chrysops","Scup","15661"
"Stephanolepis cirrhifer","Threadsail filefish","15666"
"Stereolepis gigas","Giant seabass","15684"
"Stromateus brasiliensis","Southwest Atlantic butterfish","15779"
"Stromateus fiatola","Blue butterfish","15780"
"Taractichthys steindachneri","Sickle pomfret","16206"
"Tautoga onitis","Tautog","16216"
"Tautogolabrus adspersus","Cunner","16217"
"Tegillarca granosa","Blood cockle","16232"
"Tenualosa ilisha","Hilsa shad","16268"
"Tenualosa toli","Toli shad","16269"
"Tetrapturus angustirostris","Shortbill spearfish","16330"
"Tetrapturus belone","Mediterranean spearfish","16331"
"Thelenota ananas","Prickly redfish","16404"
"Thenus orientalis","Flathead lobster","16408"
"Theragra chalcogramma","Alaska pollock(=Walleye poll.)","16410"
"Thunnus alalunga","Albacore","16437"
"Thunnus albacares","Yellowfin tuna","16438"
"Thunnus atlanticus","Blackfin tuna","16439"
"Thunnus maccoyii","Southern bluefin tuna","16440"
"Thunnus obesus","Bigeye tuna","16441"
"Thunnus orientalis","Pacific bluefin tuna","16442"
"Thunnus thynnus","Atlantic bluefin tuna","16443"
"Thunnus tonggol","Longtail tuna","16444"
"Thyrsites atun","Snoek","16454"
"Todarodes pacificus","Japanese flying squid","16480"
"Todarodes sagittatus","European flying squid","16481"
"Trachinotus blochii","Snubnose pompano","16556"
"Trachinotus carolinus","Florida pompano","16558"
"Trachinotus mookalee","Indian pompano","16565"
"Trachinus draco","Greater weever","16574"
"Trachipterus arcticus","Dealfish","16577"
"Trachurus capensis","Cape horse mackerel","16586"
"Trachurus declivis","Greenback horse mackerel","16587"
"Trachurus japonicus","Japanese jack mackerel","16590"
"Trachurus lathami","Rough scad","16591"
"Trachurus mediterraneus","Mediterranean horse mackerel","16592"
"Trachurus murphyi","Chilean jack mackerel","16593"
"Trachurus symmetricus","Pacific jack mackerel","16596"
"Trachurus trachurus","Atlantic horse mackerel","16597"
"Trachurus trecae","Cunene horse mackerel","16598"
"Trachysalambria curvirostris","Southern rough shrimp","16616"
"Tragulichthys jaculiferus","Longspine burrfish","16621"
"Trichiurus lepturus","Largehead hairtail","16654"
"Trigloporus lastoviza","Streaked gurnard","16679"
"Trisopterus esmarkii","Norway pout","16779"
"Trisopterus luscus","Pouting(=Bib)","16780"
"Trisopterus minutus","Poor cod","16781"
"Trochus niloticus","Commercial top","16792"
"Umbrina canariensis","Canary drum(=Baardman)","16917"
"Umbrina canosai","Argentine croaker","16918"
"Umbrina cirrosa","Shi drum","16919"
"Upogebia pugettensis","Blue mud shrimp","16950"
"Uranoscopus scaber","Stargazer","16964"
"Urophycis chuss","Red hake","16996"
"Variola louti","Yellow-edged lyretail","17077"
"Xiphias gladius","Swordfish","17238"
"Xiphopenaeus kroyeri","Atlantic seabob","17242"
"Xyrichtys novacula","Pearly razorfish","17253"
"Zenopsis conchifer","Silvery John dory","17321"
"Zenopsis nebulosa","Mirror dory","17322"
"Zeus faber","John dory","17329"
"Zoarces viviparus","Eelpout","17334"
