"SciName","CommName","SpeciesID"
"Dicentrarchus labrax","European seabass","5228"
"Dicentrarchus punctatus","Spotted seabass","5229"
"Dicologlossa cuneata","Wedge sole","5235"
"Diplodus annularis","Annular seabream","5323"
"Diplodus vulgaris","Common two-banded seabream","5332"
"Dipturus batis","Common skate","5360"
"Dipturus innominatus","New Zealand smooth skate","5370"
"Dipturus oxyrinchus","Longnosed skate","5379"
"Dissostichus eleginoides","Patagonian toothfish","5411"
"Dissostichus mawsoni","Antarctic toothfish","5412"
"Doryteuthis pealeii","Longfin inshore squid","5475"
"Dosidicus gigas","Jumbo flying squid","5478"
"Drepane africana","African sicklefish","5492"
"Drepane punctata","Spotted sicklefish","5494"
"Dussumieria acuta","Rainbow sardine","5520"
"Dussumieria elopsoides","Slender rainbow sardine","5521"
"Elagatis bipinnulata","Rainbow runner","5672"
"Eledone cirrhosa","Horned octopus","5685"
"Eleginops maclovinus","Patagonian blennie","5688"
"Eleginus gracilis","Saffron cod","5689"
"Eleutheronema tetradactylum","Fourfinger threadfin","5702"
"Elops lacerta","West African ladyfish","5708"
"Elops saurus","Ladyfish","5710"
"Encrasicholina punctifer","Buccaneer anchovy","5756"
"Engraulis anchoita","Argentine anchovy","5768"
"Engraulis encrasicolus","European anchovy","5771"
"Engraulis japonicus","Japanese anchovy","5773"
"Engraulis mordax","Californian anchovy","5774"
"Engraulis ringens","Anchoveta(=Peruvian anchovy)","5775"
"Ensis directus","Atl.jackknife(=Atl.razor clam)","5846"
"Eopsetta jordani","Petrale sole","5874"
"Epigonus telescopus","Black cardinal fish","5898"
"Epinephelus aeneus","White grouper","5904"
"Epinephelus areolatus","Areolate grouper","5910"
"Epinephelus chlorostigma","Brownspotted grouper","5916"
"Epinephelus fuscoguttatus","Brown-marbled grouper","5931"
"Epinephelus goreensis","Dungat grouper","5932"
"Epinephelus marginatus","Dusky grouper","5946"
"Epinephelus merra","Honeycomb grouper","5948"
"Epinephelus morio","Red grouper","5950"
"Epinephelus morrhua","Comet grouper","5951"
"Epinephelus polylepis","Smallscaled grouper","5955"
"Epinephelus striatus","Nassau grouper","5965"
"Epinephelus summana","Summan grouper","5966"
"Epinephelus tauvina","Greasy grouper","5967"
"Eptatretus cirrhatus","Broadgilled hagfish","6006"
"Erimacrus isenbeckii","Hair crab","6052"
"Ethmalosa fimbriata","Bonga shad","6097"
"Ethmidium maculatum","Pacific menhaden","6098"
"Etmopterus spinax","Velvet belly","6123"
"Etrumeus whiteheadi","Whitehead's round herring","6130"
"Euthynnus affinis","Kawakawa","6388"
"Euthynnus alletteratus","Little tunny(=Atl.black skipj)","6389"
"Euthynnus lineatus","Black skipjack","6390"
"Eutrigla gurnardus","Grey gurnard","6392"
"Farfantepenaeus aztecus","Brown shrimp","6469"
"Farfantepenaeus brevirostris","Crystal shrimp","6470"
"Farfantepenaeus duorarum","Pink shrimp ","6472"
"Farfantepenaeus notialis","Southern pink shrimp","6473"
"Fenneropenaeus chinensis","Fleshy prawn","6527"
"Fenneropenaeus penicillatus","Redtail prawn","6529"
"Fistularia corneta","Pacific cornetfish","6580"
"Gadiculus argenteus","Silvery pout","6712"
"Gadus macrocephalus","Pacific cod","6745"
"Gadus morhua","Atlantic cod","6746"
"Gadus ogac","Greenland cod","6747"
"Galeocerdo cuvier","Tiger shark","6782"
"Galeoides decadactylus","Lesser African threadfin","6784"
"Galeorhinus galeus","Tope shark","6787"
"Galeus melastomus","Blackmouth catshark","6792"
"Gasterochisma melampus","Butterfly kingfish","6811"
"Genyonemus lineatus","White croaker","6870"
"Genypterus blacodes","Pink cusk-eel","6871"
"Genypterus capensis","Kingklip","6873"
"Genypterus maculatus","Black cusk-eel","6875"
"Gerres nigri","Guinean striped mojarra","6890"
"Gerres oblongus","Slender silver-biddy","6891"
"Gerres oyena","Common silver-biddy","6892"
"Ginglymostoma cirratum","Nurse shark","6922"
"Girella tricuspidata","Parore","6936"
"Glycymeris glycymeris","Common European bittersweet","6975"
"Glyptocephalus cynoglossus","Witch flounder","6996"
"Glyptocephalus zachirus","Rex sole","6998"
"Grammoplites suppositus","Spotfin flathead","7173"
"Gymnosarda unicolor","Dogtooth tuna","7241"
"Gymnura altavela","Spiny butterfly ray","7325"
"Haemulon plumierii","White grunt","7350"
"Haliotis rubra","Blacklip abalone","7483"
"Haliotis tuberculata","Tuberculate abalone","7484"
"Harpadon nehereus","Bombay-duck","7562"
"Helicolenus dactylopterus","Blackbelly rosefish","7617"
"Hemiramphus balao","Balao halfbeak","7660"
"Hemiramphus brasiliensis","Ballyhoo halfbeak","7661"
"Herklotsichthys quadrimaculatus","Bluestripe herring","7704"
"Hexagrammos decagrammus","Kelp greenling","7785"
"Hexanchus griseus","Bluntnose sixgill shark","7789"
"Hilsa kelee","Kelee shad","7794"
"Himantura gerrardi","Sharpnose stingray","7806"
"Hippoglossoides elassodon","Flathead sole","7863"
"Hippoglossoides platessoides","Amer. plaice(=Long rough dab)","7864"
"Hippoglossus hippoglossus","Atlantic halibut","7866"
"Holothuria fuscogilva","White teatfish","7931"
"Holothuria nobilis","Black teatfish","7937"
"Homarus americanus","American lobster","7953"
"Homarus gammarus","European lobster","7954"
"Hoplopagrus guentherii","Mexican barred snapper","7975"
"Hoplostethus atlanticus","Orange roughy","7977"
"Hydrolagus novaezealandiae","Dark ghost shark","8039"
"Hyperoglyphe antarctica","Bluenose warehou","8081"
"Hyporthodus flavolimbatus","Yellowedge grouper","8149"
"Hyporthodus mystacinus","Misty grouper","8151"
"Hyporthodus nigritus","Warsaw grouper","8152"
"Hyporthodus niveatus","Snowy grouper","8154"
"Ilisha africana","West African ilisha","8235"
"Ilisha elongata","Elongate ilisha","8236"
"Illex argentinus","Argentine shortfin squid","8245"
"Illex coindetii","Broadtail shortfin squid","8246"
"Illex illecebrosus","Northern shortfin squid","8247"
"Isopisthus parvipinnis","Bigtooth corvina","8317"
"Istiompax indica","Black marlin","8344"
"Istiophorus albicans","Atlantic sailfish","8345"
"Istiophorus platypterus","Indo-Pacific sailfish","8346"
"Isurus oxyrinchus","Shortfin mako","8347"
"Jasus edwardsii","Red rock lobster","8371"
"Jasus lalandii","Cape rock lobster","8373"
"Kajikia albida","White marlin ","8423"
"Kajikia audax","Striped marlin","8424"
"Kathetostoma giganteum","Giant stargazer","8444"
"Katsuwonus pelamis","Skipjack tuna","8447"
"Konosirus punctatus","Dotted gizzard shad","8470"
"Labrus bergylta","Ballan wrasse","8533"
"Lachnolaimus maximus","Hogfish","8538"
"Lactarius lactarius","False trevally","8539"
"Lamna nasus","Porbeagle","8618"
"Lampris guttatus","Opah","8654"
"Larimichthys crocea","Large yellow croaker","8665"
"Larimichthys polyactis","Yellow croaker","8666"
"Larimus breviceps","Shorthead drum","8669"
"Lateolabrax japonicus","Japanese seabass","8706"
"Lates calcarifer","Barramundi(=Giant seaperch)","8711"
"Leiostomus xanthurus","Spot croaker","8743"
"Lepidocybium flavobrunneum","Escolar","8787"
"Lepidonotothen squamifrons","Grey rockcod","8796"
"Lepidoperca pulchella","Orange perch","8801"
"Lepidopsetta bilineata","Rock sole","8806"
"Lepidopsetta polyxystra","Northern rock sole","8808"
"Lepidopus caudatus","Silver scabbardfish","8810"
"Lepidorhombus boscii","Four-spot megrim","8813"
"Lepidorhombus whiffiagonis","Megrim","8814"
"Lepidorhynchus denticulatus","Thorntooth grenadier","8815"
"Lethrinus atlanticus","Atlantic emperor","8980"
"Lethrinus borbonicus","Snubnose emperor","8981"
"Lethrinus harak","Thumbprint emperor","8989"
"Lethrinus lentjan","Pink ear emperor","8991"
"Lethrinus mahsena","Sky emperor","8992"
"Lethrinus microdon","Smalltooth emperor","8993"
"Lethrinus nebulosus","Spangled emperor","8995"
"Lethrinus obsoletus","Orange-striped emperor","8996"
"Lethrinus xanthochilus","Yellowlip emperor","9004"
"Leucoraja circularis","Sandy ray","9015"
"Leucoraja fullonica","Shagreen ray","9017"
"Leucoraja naevus","Cuckoo ray","9022"
"Lichia amia","Leerfish","9042"
"Limanda aspera","Yellowfin sole","9057"
"Limanda ferruginea","Yellowtail flounder","9058"
"Limanda limanda","Common dab","9059"
"Limulus polyphemus","Horseshoe crab","9089"
"Lithognathus mormyrus","Sand steenbras","9192"
"Litopenaeus setiferus","White shrimp ","9210"
"Litopenaeus vannamei","Whiteleg shrimp","9211"
"Littorina littorea","Common periwinkle","9215"
"Liza aurata","Golden grey mullet","9220"
"Liza saliens","Leaping mullet","9226"
"Loligo vulgaris","European squid","9254"
"Lophius americanus","American angler","9280"
"Lophius budegassa","Blackbellied angler","9281"
"Lophius gastrophysus","Blackfin goosefish","9282"
"Lophius piscatorius","Angler(=Monk)","9284"
"Lophius vomerinus","Devil anglerfish","9286"
"Lopholatilus chamaeleonticeps","Great Northern tilefish","9292"
"Loxechinus albus","Chilean sea urchin","9316"
"Lutjanus analis","Mutton snapper","9382"
"Lutjanus argentimaculatus","Mangrove red snapper","9385"
"Lutjanus argentiventris","Yellow snapper","9386"
"Lutjanus bohar","Two-spot red snapper","9390"
"Lutjanus buccanella","Blackfin snapper","9392"
"Lutjanus campechanus","Northern red snapper","9393"
"Lutjanus cyanopterus","Cubera snapper","9397"
"Lutjanus gibbus","Humpback red snapper","9405"
"Lutjanus griseus","Grey snapper","9407"
"Lutjanus guttatus","Spotted rose snapper","9408"
"Lutjanus johnii","John's snapper","9411"
"Lutjanus kasmira","Common bluestripe snapper","9413"
"Lutjanus malabaricus","Malabar blood snapper","9419"
"Lutjanus peru","Pacific red snapper","9423"
"Lutjanus purpureus","Southern red snapper","9424"
"Lutjanus quinquelineatus","Five-lined snapper","9425"
"Lutjanus synagris","Lane snapper","9432"
"Lutjanus vivanus","Silk snapper","9436"
"Macrodon ancylodon","King weakfish","9578"
"Macrourus berglax","Roughhead grenadier","9610"
"Macrourus carinatus","Ridge scaled rattail","9611"
"Macrourus whitsoni","Whitson's grenadier","9613"
"Macruronus magellanicus","Patagonian grenadier","9615"
"Macruronus novaezelandiae","Blue grenadier","9616"
"Maja squinado","Spinous spider crab","9646"
"Makaira nigricans","Blue marlin","9647"
"Malacanthus plumieri","Sand tilefish","9650"
"Mallotus villosus","Capelin","9684"
"Marsupenaeus japonicus","Kuruma prawn","9725"
"Megalaspis cordyla","Torpedo scad","9768"
"Megalops atlanticus","Tarpon","9772"
"Megalops cyprinoides","Indo-Pacific tarpon","9773"
"Melanogrammus aeglefinus","Haddock","9830"
"Melicertus kerathurus","Caramote prawn","9856"
"Melicertus latisulcatus","Western king prawn","9857"
"Mene maculata","Moonfish","9872"
"Menidia menidia","Atlantic silverside","9874"
"Menippe mercenaria","Black stone crab","9876"
"Menticirrhus littoralis","Gulf kingcroaker","9880"
"Menticirrhus saxatilis","Northern kingfish","9883"
"Mercenaria mercenaria","Northern quahog(=Hard clam)","9890"
"Merlangius merlangus","Whiting","9896"
"Merluccius albidus","Offshore silver hake","9897"
"Merluccius australis","Southern hake","9899"
"Merluccius bilinearis","Silver hake","9900"
"Merluccius capensis","Shallow-water Cape hake","9901"
"Merluccius hubbsi","Argentine hake","9904"
"Merluccius merluccius","European hake","9905"
"Merluccius paradoxus","Deep-water Cape hake","9906"
"Merluccius polli","Benguela hake","9907"
"Merluccius productus","North Pacific hake","9908"
"Merluccius senegalensis","Senegalese hake","9909"
"Metanephrops challengeri","New Zealand lobster","9957"
"Metapenaeus joyneri","Shiba shrimp","9982"
"Metapenaeus monoceros","Speckled shrimp","9986"
"Meuschenia scaber","Velvet leatherjacket","10004"
"Microgadus tomcod","Atlantic tomcod","10026"
"Micromesistius australis","Southern blue whiting","10040"
"Micromesistius poutassou","Blue whiting(=Poutassou)","10041"
"Micropogonias furnieri","Whitemouth croaker","10053"
"Micropogonias undulatus","Atlantic croaker","10054"
"Microstomus kitt","Lemon sole","10064"
"Microstomus pacificus","Dover sole","10065"
"Miichthys miiuy","Mi-iuy (brown) croaker","10070"
"Molva dypterygia","Blue ling","10186"
"Molva molva","Ling","10188"
"Monotaxis grandoculis","Humpnose big-eye bream","10231"
"Moolgarda seheli","Bluespot mullet","10283"
"Mora moro","Common mora","10289"
"Morone saxatilis","Striped bass","10298"
"Mugil cephalus","Flathead grey mullet","10313"
"Mugil curema","White mullet","10314"
"Mugil liza","Lebranche mullet","10317"
"Mulloidichthys flavolineatus","Yellowstripe goatfish","10326"
"Mullus argentinae","Argentine goatfish","10330"
"Mullus surmuletus","Surmullet","10334"
"Muraena helena","Mediterranean moray","10381"
"Muraenesox cinereus","Daggertooth pike conger","10386"
"Mustelus antarcticus","Gummy shark","10411"
"Mustelus asterias","Starry smooth-hound","10412"
"Mustelus lenticulatus","Spotted estuary smooth-hound","10418"
"Mustelus mustelus","Smooth-hound","10424"
"Mustelus schmitti","Narrownose smooth-hound","10428"
"Mycteroperca microlepis","Gag","10453"
"Mycteroperca phenax","Scamp","10455"
"Myliobatis aquila","Common eagle ray","10480"
"Mytilus galloprovincialis","Mediterranean mussel","10545"
"Naso unicornis","Bluespine unicornfish","10633"
"Naucrates ductor","Pilotfish","10708"
"Nemadactylus bergi","Castaneta","10735"
"Nemadactylus macropterus","Tarakihi","10738"
"Nematalosa nasus","Bloch's gizzard shad","10748"
"Nemipterus japonicus","Japanese threadfin bream","10778"
"Nemipterus virgatus","Golden threadfin bream","10788"
"Nephrops norvegicus","Norway lobster","10961"
"Netuma thalassina","Giant catfish","11016"
"Normanichthys crockeri","Mote sculpin","11078"
"Oblada melanura","Saddled seabream","11210"
"Octopus vulgaris","Common octopus","11241"
"Ocyurus chrysurus","Yellowtail snapper","11247"
"Odontesthes regia","Chilean silverside","11268"
"Ommastrephes bartramii","Neon flying squid","11376"
"Oncorhynchus gorbuscha","Pink(=Humpback) salmon","11398"
"Oncorhynchus keta","Chum(=Keta=Dog) salmon","11399"
