"rcp","scenario","scenario_short","sovereign_iso3","sovereign","b1","b2","c1","c2","p1","p2","msy_tot1","msy_tot2","bbmsy_avg1","bbmsy_avg2","bbmsy_prop1","bbmsy_prop2","b_pdiff","c_pdiff","p_pdiff","bbmsy_prop_diff"
"RCP 6.0","Range Shift Only","Range","ABNJ","High Seas",46817526.1042843,53061329.6947051,4188585.79624041,4292189.79509271,3807664940.16767,3989224361.39623,5563606.38141285,5930054.04479928,1.03265811819613,0.962664595989158,0.498583124109519,0.473936415073078,14.8760891138099,-1.58842539322184,0.23735189630772,-0.0105021396200639
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas",45105071.980141,65511510.7695481,4812604.32584311,5874598.63374369,4727035246.67131,5572547415.81353,5585028.72100012,6029124.97343103,1.05505994024849,1.52607479980963,0.663483995328576,0.980932344051543,42.0830372614904,33.1979965915011,39.1663354898788,0.500476247898116
"RCP 8.5","No Adaptation","BAU","ABNJ","High Seas",46107904.2454451,43404468.8553111,4410425.67010991,4475966.83425436,4004235216.94211,3246691459.77149,5585028.72100012,6029124.97343103,1.00482257884001,0.58375349713224,0.480456096153427,0.144880344262383,-5.86327970090101,1.48605075896939,-18.9185628747637,-0.335575751891044
"RCP 8.5","Productivity Only","Productivity","ABNJ","High Seas",43341824.5759013,40693958.5478238,5085332.35718707,5411015.69012582,4754398476.49437,3868437905.10114,5585028.72100012,6029124.97343103,0.992265253844091,0.697205976154426,0.568294230570735,0.27939274082125,-11.7419036632014,22.6869262710187,-3.39134202872004,-0.201063355332177
"RCP 8.5","Range Shift Only","Range","ABNJ","High Seas",46865808.062697,54070226.6945438,4192737.53482052,4382072.72139107,3808528079.19445,3945955271.22504,5585028.72100012,6029124.97343103,1.02826500547532,1.08162323282049,0.496546518855805,0.523886373255797,17.2688882294736,-0.642861955728994,-1.45545759825721,0.0434302771023699
"RCP 2.6","Full Adaptation","Full","AGO","Angola",1361495.56516415,1261499.92791693,81571.7068609929,76629.1730754545,57936539.7616821,43200160.9784706,141777.255086853,81798.7671599225,1.0514956240218,1.2685082082108,0.646794296961363,0.981809859306059,-1.39409117944037,-23.2773367352194,8.71983029058775,0.574965846248493
"RCP 2.6","No Adaptation","BAU","AGO","Angola",1279335.02465108,1076084.35253799,99878.1452763136,55323.6162625471,39735309.4306757,19248058.0041468,141777.255086853,81798.7671599225,0.933363626296928,0.66248873806318,0.406844013057566,0.251114312754305,-15.8872123561636,-44.6088870498207,-51.5593101452301,-0.155729700303261
"RCP 2.6","Productivity Only","Productivity","AGO","Angola",1254230.85128283,856412.004870798,111126.298445824,69521.684093645,62110484.1636384,28404980.3537336,141777.255086853,81798.7671599225,0.990157939954002,0.845714753332688,0.556260060279757,0.567586895748565,-33.0580349659096,-30.3934970945718,-28.514510744429,0.160742882690999
"RCP 2.6","Range Shift Only","Range","AGO","Angola",1307280.01725217,1171047.10857354,91700.5549787348,58696.7266676027,32206671.0494738,24340518.1630421,141777.255086853,81798.7671599225,0.963450253128278,0.853522051630871,0.442517127672649,0.400351857892538,-8.46439079607572,-41.2316613357029,-38.7433531743152,-0.00649215516502799
"RCP 4.5","Full Adaptation","Full","AGO","Angola",2388564.83113285,1063172.26888776,131420.670540919,61612.4492409332,83697327.952138,35911853.3298131,253039.259425149,67179.0530442127,1.03213426529415,1.36480879903025,0.629452011800891,0.98159968023851,-47.5436126261774,-66.4635025772024,-43.5055254608258,0.574531699571885
"RCP 4.5","No Adaptation","BAU","AGO","Angola",2026773.7107232,1007927.3170794,183717.603136009,45355.3255800067,63567018.9390136,16455016.3481743,253039.259425149,67179.0530442127,0.928615121518268,0.646058715188367,0.407067980666625,0.234910027738242,-50.2693708850334,-75.312476972373,-74.1139090320387,-0.172157952928383
"RCP 4.5","Productivity Only","Productivity","AGO","Angola",2262041.67594931,796134.268257785,172902.562086885,59207.1388743966,98869245.7060806,25456292.0190346,253039.259425149,67179.0530442127,0.986448319124845,0.840056693522787,0.562042558533676,0.548272670477458,-60.7191338605973,-67.7727458535562,-59.9536167592546,0.141204689810834
"RCP 4.5","Range Shift Only","Range","AGO","Angola",2075764.15034337,1080046.91847978,168548.47866242,47773.1540325294,51397539.1394335,20645635.2787314,253039.259425149,67179.0530442127,0.952717078643173,0.858761993519005,0.436281463812692,0.41180895445594,-46.7110258651227,-73.9964199308859,-67.5214669126785,0.00474097378931471
"RCP 6.0","Full Adaptation","Full","AGO","Angola",2436939.7176508,778768.164541426,132802.921122372,46885.6604651918,83397652.64951,30247692.3301628,261299.398057572,48528.7381058002,1.03403078341974,1.44253478551364,0.632012913644638,0.980338274877404,-62.4043278585584,-74.5805432457682,-50.65747576307,0.567409543872673
"RCP 6.0","No Adaptation","BAU","AGO","Angola",2071430.35403533,946711.646096903,184447.924747197,32984.2503598337,61301469.2659849,19223566.1496837,261299.398057572,48528.7381058002,0.932027185704177,0.637202627007624,0.412928731004731,0.216668092115497,-54.2967184847598,-82.1173101269414,-68.6409373545791,-0.196260638889234
"RCP 6.0","Productivity Only","Productivity","AGO","Angola",2346643.99134576,730622.713367567,162152.32492862,46554.2555785725,96044930.4447303,27939144.4585848,261299.398057572,48528.7381058002,0.992350130188186,0.840257970691154,0.565754232742338,0.526300177294985,-64.7285890184891,-74.7602172036473,-54.4233689777355,0.113371446290255
"RCP 6.0","Range Shift Only","Range","AGO","Angola",2105110.50148641,965856.339128483,172647.844849873,33296.8277815081,51090934.2563472,20431002.4757332,261299.398057572,48528.7381058002,0.954115288663199,0.887541988440408,0.436515248999949,0.435341995210387,-53.3724927199744,-81.9478436381735,-66.6712678825303,0.0224132642056568
"RCP 8.5","Full Adaptation","Full","AGO","Angola",2262253.03023674,801172.146374735,131468.755287305,38534.6147180657,83629703.2228909,23870866.5114885,257833.883783499,38206.1708818181,1.02770019514396,1.59034304274685,0.627159296783764,0.984449161250488,-58.6636435455271,-79.0102459864894,-63.0350398853607,0.584892066639137
"RCP 8.5","No Adaptation","BAU","AGO","Angola",1938177.95058239,336110.975913053,183587.738537869,39622.3572267452,64577011.4115039,10736675.9110731,257833.883783499,38206.1708818181,0.920201264473497,0.525289017677713,0.399557094611351,0.109430380033335,-82.6584047242898,-78.417754070993,-83.3738420586611,-0.290126714578016
"RCP 8.5","Productivity Only","Productivity","AGO","Angola",2019839.93678074,355650.629047266,192202.977887734,38118.6938830269,94301095.7466334,7379419.54888998,257833.883783499,38206.1708818181,0.967848338247805,0.676631126035005,0.53636977017869,0.260757459298309,-81.6502592581657,-79.2367975189345,-88.572683393683,-0.138799635313041
"RCP 8.5","Range Shift Only","Range","AGO","Angola",1988437.24892157,993341.636888758,164599.27551016,30092.4397357581,49055362.4298542,17841894.9413338,257833.883783499,38206.1708818181,0.946642149953123,0.959695881812794,0.42962572988669,0.47256130716185,-48.7486875707014,-83.6086876087583,-72.3711355614773,0.073004212550499
"RCP 2.6","Full Adaptation","Full","ALB","Albania",139932.522585925,220398.216611933,11371.6882692516,18694.9303663208,7255220.33713681,9970002.66639258,19167.3790052765,19103.6102665554,1.07196713888482,1.23273796888737,0.688328685629299,0.981818181818182,69.1188881188584,42.0966604400014,50.8400909227982,0.489154117865774
"RCP 2.6","No Adaptation","BAU","ALB","Albania",130321.467379229,128991.541471603,13156.4882020676,14002.8522471445,6609650.39559366,4466567.83771616,19167.3790052765,19103.6102665554,1.01107875592354,0.74073165129248,0.492664063952407,0.290909090909091,-1.02049641887172,6.43305441450512,-32.4235387594205,-0.201754973043317
"RCP 2.6","Productivity Only","Productivity","ALB","Albania",129684.383416306,120947.141562696,14659.2164387698,15539.6741669078,8170526.2128376,6244370.1906875,19167.3790052765,19103.6102665554,1.02627610454445,0.854209320804577,0.610697155605131,0.56969696969697,-7.19323224718955,18.1141496745741,-5.52646786204734,0.0770329057445622
"RCP 2.6","Range Shift Only","Range","ALB","Albania",133790.087074104,159483.105247049,12225.2446365864,15408.1688635261,5836828.99817275,5766674.52607927,19167.3790052765,19103.6102665554,1.03154778826628,0.968198194492029,0.507313627068228,0.466666666666667,22.3766954549095,17.1146025206382,-12.7537134199468,-0.0259973972857408
"RCP 4.5","Full Adaptation","Full","ALB","Albania",125263.909660553,180732.870996582,10608.2227540291,15922.0363946784,6683886.52732371,7570099.4288036,18238.349411467,16286.8142538149,1.06250079082304,1.27850177650638,0.678844580777096,0.981346408127397,53.1287247053695,32.9087954422889,32.4406091857987,0.495891545268674
"RCP 4.5","No Adaptation","BAU","ALB","Albania",118026.759084114,82893.5882206143,11979.6709779016,11665.3547483895,5715844.6154409,2888670.85235284,18238.349411467,16286.8142538149,1.00355250237034,0.640032101490692,0.485454862858723,0.220034877067917,-29.7671232660564,-2.62374676309408,-49.4620472265931,-0.265419985790806
"RCP 4.5","Productivity Only","Productivity","ALB","Albania",116140.451587992,77656.7770174694,13001.4325268681,12626.7523392983,7691437.34699792,3697110.65967429,18238.349411467,16286.8142538149,1.00409796704981,0.740253811539241,0.582177687393159,0.431442251624083,-34.2040926819605,5.40149527136761,-35.3182091464341,-0.0540126112346402
"RCP 4.5","Range Shift Only","Range","ALB","Albania",119936.551754095,122071.682858905,11267.9571358152,13155.8584637067,5173606.01026294,4864856.89658372,18238.349411467,16286.8142538149,1.02279233445473,0.977222925737123,0.504320392311564,0.478790800557376,3.4271243285674,9.81819524071037,-14.8882234579699,-0.00666406230134736
"RCP 6.0","Full Adaptation","Full","ALB","Albania",138523.822001585,229298.140171829,11349.0916479429,18452.5173102311,7234484.97385715,9767908.24801796,19164.5272291014,19026.9444529488,1.06352193305437,1.32585121822974,0.677741756872415,0.982547939616483,77.34980697234,40.0289350225985,47.3286386555582,0.489705511268347
"RCP 6.0","No Adaptation","BAU","ALB","Albania",129291.451784659,101525.278436766,13177.6459681374,13603.2751361447,6630013.23921447,2941431.81744075,19164.5272291014,19026.9444529488,1.00239228679041,0.615961322208464,0.492842428348136,0.191972664218686,-21.4756451139077,3.22993324480298,-55.6346011491638,-0.30086976412945
"RCP 6.0","Productivity Only","Productivity","ALB","Albania",129616.238424453,92643.9314098266,13336.0344701775,14726.8091515908,8123398.88411778,3967403.2454046,19164.5272291014,19026.9444529488,1.0064845668147,0.725384908044136,0.585494549283985,0.395580035359717,-28.3448904540653,11.7559933481234,-40.1599498785517,-0.0972623929884189
"RCP 6.0","Range Shift Only","Range","ALB","Albania",132588.517345248,162948.276882176,12141.5333255564,15487.7213831625,5807953.46146158,5726634.48901502,19164.5272291014,19026.9444529488,1.02464784641486,0.993548886741241,0.508244748765936,0.488072895416837,26.0317481418446,17.5302585955846,-13.6255949664812,-0.00476953293129934
"RCP 8.5","Full Adaptation","Full","ALB","Albania",126152.757311336,116369.985271746,10666.8210314678,8816.38922689873,6697692.95412582,4210693.28682406,18355.0370987899,9049.8550899813,1.06139879717058,1.46511933198152,0.680456265383344,0.982247232980052,-1.48702729290993,-28.8230338433628,-30.4543056484448,0.498058555121046
"RCP 8.5","No Adaptation","BAU","ALB","Albania",118126.559450957,35341.6560794435,12386.5763082635,6781.12438382913,6054570.77693251,1050560.51524684,18355.0370987899,9049.8550899813,0.997019414797033,0.523060467704166,0.484188677859006,0.110972161438501,-70.0815326851907,-45.2542477027713,-82.6484724689419,-0.373216516420505
"RCP 8.5","Productivity Only","Productivity","ALB","Albania",111076.809370959,34821.0632692789,13545.7247175165,6478.69208546887,7246584.60878111,762571.654319645,18355.0370987899,9049.8550899813,0.988806317099254,0.607224316480959,0.557294000955145,0.211017809739759,-70.5222403571861,-47.6958610334743,-87.405025353325,-0.273170868119247
"RCP 8.5","Range Shift Only","Range","ALB","Albania",120996.534139105,79496.4231556001,11266.2884962143,7067.26403972796,5180488.59177695,2668180.82260177,18355.0370987899,9049.8550899813,1.02217355673524,1.04878671417447,0.506098232981889,0.523709627985575,-32.7023291585796,-42.9441690436026,-55.931131687033,0.0395209501265688
"RCP 2.6","Full Adaptation","Full","ARE","United Arab Emirates",273257.218073593,121693.246122457,30704.6306730168,10324.0860237613,25383513.3860353,8792071.52497325,21274.7657612713,10570.8002495563,1.06516274295754,1.19861359650347,0.667463326425375,0.996019900497512,-64.8922549449542,-36.3105170190021,-44.10333830391,0.564162121704117
"RCP 2.6","No Adaptation","BAU","ARE","United Arab Emirates",346627.91908638,166947.041748562,16210.0327095473,6625.21968436789,15729153.1518925,5535369.30994897,21274.7657612713,10570.8002495563,0.962811645390872,0.655047497825955,0.431857778793395,0.282773949335393,-51.8368162066719,-59.128893796335,-64.8082178582961,-0.149083829458002
"RCP 2.6","Productivity Only","Productivity","ARE","United Arab Emirates",268652.413311079,120696.496279142,31667.7147102365,10296.5223247839,26008305.1692814,8678973.49562878,21274.7657612713,10570.8002495563,1.04335496152056,1.04453654502701,0.623279804777517,0.814009227318346,-65.1798110789037,-36.4805580020854,-44.8223727506619,0.38215144852495
"RCP 2.6","Range Shift Only","Range","ARE","United Arab Emirates",349838.15843781,168230.254665443,15073.0439650333,6620.87103819825,14665193.3146616,5569715.45625817,21274.7657612713,10570.8002495563,0.97078549668524,0.708809605133628,0.437674087700378,0.331468405171352,-51.4666172566672,-59.15572067724,-64.5898580650032,-0.100389373622043
"RCP 4.5","Full Adaptation","Full","ARE","United Arab Emirates",397199.728941581,60431.3964172448,35777.7821496188,3934.47360297982,30168595.5841524,3488774.60672903,30330.188844693,4046.03143949962,1.05954153905989,1.20915084895681,0.661254548036404,0.990113593375366,-85.5760756722786,-89.3563368827489,-87.1476275444013,0.563134521046486
"RCP 4.5","No Adaptation","BAU","ARE","United Arab Emirates",418966.399463851,45545.933355724,36965.4089915987,2632.65301115024,27144985.2451892,790657.900285836,30330.188844693,4046.03143949962,0.954370088715118,0.709650667213448,0.42697907232888,0.301535402051344,-89.1289770697581,-92.8780633490392,-97.0872782094219,-0.125443670277536
"RCP 4.5","Productivity Only","Productivity","ARE","United Arab Emirates",347166.864383363,45711.2064402439,43315.6209581562,3386.41480643183,32069569.8383627,2321017.42583614,30330.188844693,4046.03143949962,1.04035325107879,1.08065431752138,0.624815931210364,0.849733457280733,-89.0895292561073,-90.8389629688624,-91.4495535552097,0.422754384951853
"RCP 4.5","Range Shift Only","Range","ARE","United Arab Emirates",483380.747355179,69802.2140018282,20469.9783441591,2593.09260280995,17755437.4103787,1603613.95658365,30330.188844693,4046.03143949962,0.967711846218733,0.769034338155712,0.436832013505351,0.350967435174515,-83.3394243330363,-92.985083423805,-94.0924117581981,-0.0760116371543649
"RCP 6.0","Full Adaptation","Full","ARE","United Arab Emirates",338417.062359805,544.312697418653,32335.8935808298,40.8383252365272,27185775.1782002,33599.4685270195,25349.3349551454,42.5324753794041,1.0651854681216,1.21300859605903,0.668994138219792,0.975457875457875,-99.8591809004263,-99.8395301961489,-99.8433118996013,0.548249856148482
"RCP 6.0","No Adaptation","BAU","ARE","United Arab Emirates",386533.289210257,322.567442886438,25449.2273664248,29.5988429846211,21443535.559828,10249.5133732856,25349.3349551454,42.5324753794041,0.959209728846707,0.73162940296021,0.427208019309394,0.305696703296703,-99.9165485995927,-99.8836945320247,-99.9522023159628,-0.12151131601269
"RCP 6.0","Productivity Only","Productivity","ARE","United Arab Emirates",283377.934983376,318.217968053423,40140.671497278,32.6246631110015,27354559.6673032,16799.0852397472,25349.3349551454,42.5324753794041,1.03588293395092,1.04737833952746,0.617484360376336,0.790965567765568,-99.9176738519201,-99.8718048974876,-99.9216589764646,0.363757548456174
"RCP 6.0","Range Shift Only","Range","ARE","United Arab Emirates",407881.515865536,681.08907106344,17755.4275329841,28.7870222077952,15820573.1645687,21706.229442281,25349.3349551454,42.5324753794041,0.973243601701167,0.82292759786738,0.439584256933156,0.38130695970696,-99.8237954944437,-99.8868844943962,-99.8987749506991,-0.0459010596024339
